quote_id,customer,creation_date,origin_port,destination_port,origin_country,destination_country,trade_lane,transport_mode,container_type,operator_name,shipping_carrier,sales_rep,quote_status,valid_until,dept,created_by,weight_kg
74738,Adidas,2022-01-13,NRT,GRU,JAPÃO,BRASIL,ASIA/AFRICA/OCEANIA,CAI,FCL,James Moore,COSCO,Jane Doe,APROVADO,2022-01-28,ADM,Jessica White,1
72407,Apple,2022-01-13,ARN,GRU,SUÉCIA,BRASIL,EUROPA,CAI,FCL,John Smith,CMA-CGM,Jane Doe,REJEITADO,2022-01-16,CARGAS ESPECIAIS,Michael Johnson,135
86137,Tesla,2022-01-13,PNG,KHH,BRASIL,TAIWAN,ASIA/AFRICA/OCEANIA,CME,FCL,John Smith,ONE,Jessica White,ESTUDO,2022-02-12,DN,John Smith,2
92118,Pepsi,2022-01-13,GOA,SSZ,ITÁLIA,BRASIL,EUROPA,CMI,LCL,Chris Brown,MAERSK,X - Chris Brown,REJEITADO,2022-01-31,EX COLABORADOR,Sarah Taylor,1
59873,Tesla,2022-01-13,SHA,ITJ,CHINA,BRASIL,ASIA/AFRICA/OCEANIA,CMI,LCL,Sarah Taylor,CMA-CGM,Michael Johnson,REJEITADO,2022-01-31,KEY ACCOUNT,Jane Doe,4.75
16641,Amazon,2022-01-13,SHA,SSZ,CHINA,BRASIL,ASIA/AFRICA/OCEANIA,CMI,LCL,Emily Davis,HAPAG-LLOYD,Chris Brown,REJEITADO,2022-01-31,DN,Emily Davis,18.53
61479,Adidas,2022-01-13,PNG,KEL,BRASIL,TAIWAN,ASIA/AFRICA/OCEANIA,CME,FCL,Jessica White,ONE,Jessica White,ESTUDO,2022-02-12,DN,Jessica White,2
33221,Amazon,2022-01-13,UKB,SSZ,JAPÃO,BRASIL,ASIA/AFRICA/OCEANIA,CMI,LCL,Michael Johnson,ONE,X - David Lee,REJEITADO,2022-01-14,EX COLABORADOR,Sarah Taylor,2.592
14905,Nike,2022-01-13,LIS,GIG,PORTUGAL,BRASIL,ASIA/AFRICA/OCEANIA,CAI,FCL,Emily Davis,HAPAG-LLOYD,Amanda Wilson,SEGUNDA OPCAO,2022-01-31,KEY ACCOUNT,John Smith,300
17522,Samsung,2022-01-13,GRU,LPB,BRASIL,BOLÍVIA,AMERICAS,CAE,FCL,Jane Doe,HAPAG-LLOYD,James Moore,REJEITADO,2022-01-18,ADM,Michael Johnson,1
98994,Amazon,2022-01-13,SHA,ITJ,CHINA,BRASIL,ASIA/AFRICA/OCEANIA,CMI,LCL,Jane Doe,CMA-CGM,X - Chris Brown,SEGUNDA OPCAO,2022-01-31,EX COLABORADOR,Michael Johnson,1.159
33179,Pepsi,2022-01-13,PVG,GRU,CHINA,BRASIL,ASIA/AFRICA/OCEANIA,CAI,FCL,Jessica White,HAPAG-LLOYD,X - James Moore,SEGUNDA OPCAO,2022-01-31,EX COLABORADOR,Jessica White,
52034,Adidas,2022-01-14,,,,,,ROD,FCL,John Smith,COSCO,David Lee,APROVADO,2022-01-31,KEY ACCOUNT,John Smith,
63230,Adidas,2022-01-14,MIA,MAO,ESTADOS UNIDOS,BRASIL,AMERICAS,CAI,FCL,Jessica White,MAERSK,James Moore,REJEITADO,2022-01-28,KEY ACCOUNT,Michael Johnson,1
86135,Amazon,2022-01-14,ATH,GRU,GRÉCIA,BRASIL,EUROPA,CAI,FCL,James Moore,MAERSK,Sarah Taylor,APROVADO,2022-01-31,KEY ACCOUNT,Jessica White,936
35767,Tesla,2022-01-14,MIA,GRU,ESTADOS UNIDOS,BRASIL,AMERICAS,CAI,FCL,David Lee,ONE,James Moore,REJEITADO,2022-01-30,KEY ACCOUNT,Emily Davis,1
50351,Coca-Cola,2022-01-14,ATH,GRU,GRÉCIA,BRASIL,EUROPA,CAI,FCL,Amanda Wilson,MAERSK,Jane Doe,SEGUNDA OPCAO,2022-01-31,KEY ACCOUNT,Emily Davis,936
58631,Apple,2022-01-14,PVG,GRU,CHINA,BRASIL,ASIA/AFRICA/OCEANIA,CAI,FCL,Jessica White,MAERSK,X - Jane Doe,APROVADO,2022-01-22,EX COLABORADOR,John Smith,
65211,Amazon,2022-01-14,NYC,SSZ,ESTADOS UNIDOS,BRASIL,AMERICAS,CMI,LCL,John Smith,CMA-CGM,Michael Johnson,APROVADO,2022-02-03,KEY ACCOUNT,Jane Doe,7.646
92687,Pepsi,2022-01-14,BRU,GRU,BÉLGICA,BRASIL,EUROPA,CAI,FCL,Sarah Taylor,HAPAG-LLOYD,X - Chris Brown,APROVADO,2022-01-25,EX COLABORADOR,Emily Davis,101
37745,Pepsi,2022-01-14,NYC,SSZ,ESTADOS UNIDOS,BRASIL,AMERICAS,CMI,LCL,Sarah Taylor,CMA-CGM,Jane Doe,APROVADO,2022-01-31,KEY ACCOUNT,Sarah Taylor,7.08
